Player Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Andre Russell,,,,,DC,DC,KKR,KKR,KKR,,KKR,KKR,KKR,KKR,KKR,KKR,KKR,KKR
Harry Gurney,,,,,,,,,,,,KKR,,,,,,
Ashok Sharma,,,,,,,,,,,,,,,KKR,,,RR
Manish Pandey,MI,RCB,RCB,,,,KKR,KKR,KKR,KKR,SRH,SRH,SRH,SRH,LSG,DC,KKR,KKR
Rovman Powell,,,,,,,,,,KKR,,,,,DC,DC,RR,KKR
Johan Botha,,RR,RR,RR,RR,DC,,KKR,,,,,,,,,,
Quinton de Kock,,,,,,SRH,DC,DC,DC,,RCB,MI,MI,MI,LSG,LSG,LSG,KKR
Ramesh Kumar,,,,,,,,,,,,,,,KKR,,,
Marchant de Lange,,,,,KKR,,MI,MI,MI,,,,,,,,,
Umran Malik,,,,,,,,,,,,,,SRH,SRH,SRH,SRH,KKR
Debabrata Das,KKR,,,,KKR,KKR,KKR,,,,,,,,,,,
Chetan Sakariya,,,,,,,,,,,,,,RR,DC,DC,KKR,
Jason Roy,,,,,,,,,,,DC,,,SRH,,KKR,,
Sarabjit Ladda,,,DC,KKR,KKR,KKR,,,,,,,,,,,,
Litton Das,,,,,,,,,,,,,,,,KKR,,
Phil Salt,,,,,,,,,,,,,,,,DC,KKR,RCB
Kamlesh Nagarkoti,,,,,,,,,,,,,KKR,KKR,DC,DC,,CSK
Sachithra Senanayake,,,,,,KKR,,,,,,,,,,,,
Laxmi Ratan Shukla,KKR,KKR,KKR,KKR,KKR,KKR,DC,SRH,,,,,,,,,,
Tim Seifert,,,,,,,,,,,,,KKR,KKR,DC,,,
Moeen Ali,,,,,,,,,,,RCB,RCB,RCB,CSK,CSK,CSK,CSK,KKR
Aman Khan,,,,,,,,,,,,,,,KKR,DC,,
Prithvi Raj Yarra,,,,,,,,,,,,KKR,SRH,,,,,
Colin Munro,,,,,,,,MI,KKR,,DC,DC,,,,,,
Siddhesh Lad,,,,,,,,MI,MI,MI,MI,MI,KKR,,,,,
Rajat Bhatia,DC,DC,DC,KKR,KKR,KKR,RR,RR,,,,,,,,,,
Tom Curran,,,,,,,,,,,KKR,,RR,DC,,,RCB,
Sakib Hussain,,,,,,,,,,,,,,,,,KKR,
Trent Boult,,,,,,,,SRH,SRH,KKR,DC,DC,MI,MI,RR,RR,RR,MI
Rasikh Dar,,,,,,,,,,,,,,,KKR,,DC,RCB
Tim Southee,,,,CSK,,,RR,RR,MI,MI,RCB,RCB,,KKR,KKR,KKR,,
Pawan Negi,,,,,DC,DC,CSK,CSK,DC,RCB,RCB,RCB,RCB,KKR,,,,
Mitchell Starc,,,,,,,RCB,RCB,RCB,,,,,,,,KKR,DC
Owais Shah,,DC,KKR,,RR,RR,,,,,,,,,,,,
Ryan ten Doeschate,,,,KKR,KKR,KKR,KKR,KKR,,,,,,,,,,
Narayan Jagadeesan,,,,,,,,,,,CSK,CSK,CSK,CSK,CSK,KKR,,
Gautam Gambhir,DC,DC,DC,KKR,KKR,KKR,KKR,KKR,KKR,KKR,DC,,,,,,,
Shaun Tait,,RR,RR,RR,RR,RR,,,KKR,,,,,,,,,
Brad Hodge,KKR,KKR,KKR,,RR,RR,RR,,,,,,,,,,,
Suryakumar Yadav,,,,MI,MI,MI,KKR,KKR,KKR,KKR,MI,MI,MI,MI,MI,MI,MI,MI
Suyash Sharma,,,,,,,,,,,,,,,,KKR,KKR,RCB
Dushmantha Chameera,,,,,,,,,,,RR,,,RCB,LSG,,KKR,DC
Sourav Ganguly,KKR,KKR,KKR,,,,,,,,,,,,,,,
