ID,HomeWinLossRatio,HomeAverage,HomeRPO,AwayAverage,AwayRPO,NeutralAverage,NeutralRPO,WonTossBattedWinLossRatio,WonTossBattedAverage,WonTossBattedRPO,WonTossFieldedWinLossRatio,WonTossFieldedAverage,WonTossFieldedRPO,LostTossSentInWinLossRatio,LostTossSentInAverage,LostTossSentInRPO,LostTossFieldedWinLossRatio,LostTossFieldedAverage,LostTossFieldedRPO,FirstInningsWinLossRatio,FirstInningsAverage,FirstInningsRPO,SecondInningsAverage,SecondInningsRPO,DayMatchAverage,DayMatchRPO,DayNightMatchAverage,DayNightMatchRPO,NightMatchAverage,NightMatchRPO
680295,0.777,27.96,7.99,26.3,7.73,0,0,1.5,22.15,7.31,0.833,27.71,8.06,1.2,32.62,8.3,0.666,21.5,7.03,1.285,28.74,7.99,25.52,7.72,23.42,7.03,26.23,8.52,35.74,9.38
709715,1.4,25.1,8.44,21,7.98,0,0,3,19.48,7.59,1.222,25.38,8.54,0.818,23.7,8.33,0.333,14.23,6.64,1,22.92,8.2,22.8,8.2,0,0,0,0,0,0
722463,4,31.33,7.77,30.5,7.74,0,0,0,0,0,4,49.53,8.14,0.25,22.45,7.41,0,0,0,0.25,22.45,7.41,49.53,8.14,0,0,0,0,0,0
775615,1.189,24.77,8.02,22.79,7.8,0,0,1.31,26.21,8.15,1,22.38,7.72,1,22.85,7.62,0.763,23.36,8.1,1.152,24.57,7.9,22.9,7.93,0,0,0,0,0,0
805977,0.428,18.44,7.3,23.83,7.62,0,0,1,19.18,7.67,1,21.35,7.2,1,19.76,7.55,1,25.25,7.7,1,19.65,7.57,22.13,7.31,0,0,20.11,7.35,20.92,7.49
806213,1.75,19.41,6.73,19.65,6.69,0,0,0,12.4,6.35,2.333,22.668,7.17,0.428,17.43,6.32,0,32,7.04,0.375,16.81,6.32,23.32,7.15,0,0,0,0,0,0
942501,0,0,0,0,0,24.83,8.89,1,27.32,8.47,0,20.5,10.6,0,29.12,11.65,1,22.64,8.35,1.5,27.69,9,22.12,8.77,0,0,0,0,0,0
950015,0,30.76,8.13,18,6.41,0,0,1,23.83,7.15,0.5,19.88,6.5,2,28,8.81,1,21.61,7.08,1.5,26.27,7.76,20.63,6.75,0,0,0,0,0,0
1053905,0.4,15.36,6.36,22.97,7.25,0,0,1,18.38,5.97,0.666,19,7.29,1.5,20.3,7.42,1,14.41,5.29,1.333,19.72,6.95,17.58,6.66,0,0,0,0,0,0
1070094,1.105,26.1,7.56,21.35,7.27,18.95,6.95,1.333,20.89,7.1,1,24.56,7.55,1,26.47,8.03,0.75,20.64,6.73,1.15,23.65,7.59,22.59,7.15,24.62,7.14,18.35,6.64,24.32,7.92
1095893,0.923,22.18,7.44,22.56,7.43,22.37,7.79,0.653,18.72,7.23,1.5,25,7.78,0.666,22,7.77,1.529,23.19,7.58,0.662,20.81,7.59,24.39,7.72,21.94,7.51,22.88,7.77,23.6,8.08
1120086,1,18.5,7.1,20.53,7.38,0,0,1,13.21,5.76,1.4,25.57,7.99,0.714,19.76,7.67,1,15.86,6.11,0.8,17.48,7.05,22.37,7.45,17.86,6.88,0,0,25.88,8.48
1126475,1.812,29.14,8.56,21.72,8.06,16.2,6.21,0.571,22.06,7.83,0.8,21.39,8.03,1.25,26.55,8.47,1.75,27.6,8.15,0.884,24.42,8.18,23.82,8.09,20.23,8.16,26.32,8.35,23.28,7.97
1145946,0,0,0,0,0,25.64,8.32,1,29.95,8.61,0,16.66,7.69,0,25.13,9.42,1,29,7.79,2,28.05,8.88,23.3,7.75,32.22,9.45,0,0,20.54,7.59
1152683,0.916,20.81,6.96,21.95,7.27,0,0,1.166,23.95,7.76,1,20.47,6.42,1,20.62,6.95,0.857,19.9,7.02,1.09,22.47,7.41,20.12,6.77,0,0,0,0,0,0
1156527,1,26.51,7.7,20.6,7.93,0,0,0,23.66,7.1,4,3925,8.39,0.25,17.37,7.65,0,23.83,7.46,0.2,18.03,7.57,35.04,8.2,22,7.68,18.38,7.01,53,11.04
1169429,0,33.33,10,33.16,9.95,0,0,0,0,0,0,33.33,10,0,33.16,9.95,0,0,0,0,33.16,9.95,33.33,10,0,0,0,0,0,0
1170382,0,55,8.25,11.7,6.56,0,0,0,40.75,8.15,0,12.3,6.25,0,83.5,8.35,0,1101,6.93,0,55,8.25,11.7,6.56,19.57,7.61,0,0,24.16,7.31
1173702,1,21.9,7.88,17.25,7.36,0,0,2,21.9,7.82,0.5,14.83,6.47,2,21.3,8.32,0.5,20,7.8,2,21.58,8.08,17.24,7.13,0,0,0,0,0,0
1207080,1.6,18.46,6.52,19.69,6.38,18.13,5.98,0.416,17.1,6.07,0.5,18.67,6.09,2,18.29,6.41,2.4,20.62,6.22,0.812,17.59,6.21,19.73,6.16,0,0,0,0,0,0
1285698,1.5,27.62,7.77,23.72,7.58,0,0,4,28.8,7.49,4,28.27,8.39,0.25,27.1,8.13,0.25,19.27,6.67,1,27.89,7.81,23.48,7.54,0,0,0,0,0,0
1287205,0.25,16.85,5.66,34.11,7.98,0,0,1,22.71,7.43,0,19.9,5.47,0,43.75,8.75,1,22.89,6.01,1.5,25.51,7.69,22.2,5.89,0,0,0,0,0,0
1290799,0.647,18.27,7.33,23.33,7.9,0,0,0.8,18.96,6.75,0.583,17.84,7.37,1.714,24.75,8.41,1.25,20.2,7.32,1.333,22.76,7.86,18.51,7.35,20.46,7.41,23.4,8.92,20.68,8.37
