ID,GameFormat,SR,BattingInnings,IsOut,Opposition,Ground,TossResult,MatchTime,isTossWon,Fantasy,isHomeGround,GroundWL,GroundRPO,GroundAvg,TossWL,TossRPO,TossAvg,inningsWL,inningsRPO,inningsAverage,Average,Innings,Centuries,Fifties,Zeros,Consistency,Form,Venue,Opps,MaxTemp,MinTemp,MaxWind,Tournament,BattingOrder,Role,Country,Batting Hand,Age
853265,6,121.021021,1,0,Kings XI,Jaipur,bat,night,1,17,1,1.818,7.75,22.72,0.548,7.73,28.18,0.666,7.62,23.87,23.70588235,19,0,2,0,2.3917,2.6483,4.1816,1.0927,35.7,25.9,25.3,IPL,3,ALL,India,LHB,19
425943,6,123.7830914,1,1,Kings XI,Jaipur,bat,night,1,36,1,1.818,7.75,22.72,0.548,7.73,28.18,0.666,7.62,23.87,27.09345794,119,1,19,8,2.9277,2.6483,4.2372,4.0017,35.7,25.9,25.3,IPL,2,WK,Indian,RHB,24
277916,6,118.566451,1,1,Kings XI,Jaipur,bat,night,1,17,1,1.818,7.75,22.72,0.548,7.73,28.18,0.666,7.62,23.87,29.40740741,181,1,35,17,3.4865,3.0745,4.6634,4.0573,35.7,25.9,25.3,IPL,1,BAT,India,RHB,30
308967,6,141.3879181,1,1,Kings XI,Jaipur,bat,night,1,154,1,1.818,7.75,22.72,0.548,7.73,28.18,0.666,7.62,23.87,27.90147783,253,0,33,12,3.5193,3.0745,3.5316,3.6581,35.7,25.9,25.3,IPL,1,WK,England,RHB,28
390484,6,126.3736264,1,1,Kings XI,Jaipur,bat,night,1,-4,1,1.818,7.75,22.72,0.548,7.73,28.18,0.666,7.62,23.87,15.33333333,66,0,0,6,2.1893,2.6483,2.108,1.6513,35.7,25.9,25.3,IPL,4,BOWL,India,RHB,27
669855,6,134.8148148,1,1,Kings XI,Jaipur,bat,night,1,-4,1,1.818,7.75,22.72,0.548,7.73,28.18,0.666,7.62,23.87,18.2,25,0,0,2,1.9655,1.6449,2.0478,1.0927,35.7,25.9,25.3,IPL,3,BOWL,England,RHB,23
390484,6,126.0273973,1,1,Kings XI,Jaipur,bat,night,1,-4,1,1.818,7.75,22.72,0.548,7.73,28.18,0.666,7.62,23.87,14.83870968,67,0,0,7,2.1893,2.0711,2.3646,1.9079,35.7,25.9,25.3,IPL,4,BOWL,India,RHB,27
398439,6,130.2547771,2,1,RR,Jaipur,bat,night,0,5,0,1.818,7.54,25.92,1.823,8.02,23.75,0.666,7.74,24.99,24.93902439,89,2,10,3,2.7039,2.6483,1.3382,2.9753,35.7,25.9,25.3,IPL,2,BAT,India,RHB,27
26421,6,110.6489185,2,1,RR,Jaipur,bat,night,0,-4,0,1.818,7.54,25.92,1.823,8.02,23.75,0.666,7.74,24.99,15.83333333,79,0,0,5,2.1893,2.2221,3.6142,3.2319,35.7,25.9,25.3,IPL,2,ALL,India,RHB,32
325012,6,120.3957382,2,1,RR,Jaipur,bat,night,0,13,0,1.818,7.54,25.92,1.823,8.02,23.75,0.666,7.74,24.99,22.6,46,0,3,3,2.3917,3.5007,1.3382,2.5491,35.7,25.9,25.3,IPL,3,ALL,Australia,RHB,29
554691,6,131.7721519,2,1,RR,Jaipur,bat,night,0,23,0,1.818,7.54,25.92,1.823,8.02,23.75,0.666,7.74,24.99,20.01923077,76,0,0,6,2.6155,1.6449,1.3382,2.8057,35.7,25.9,25.3,IPL,3,ALL,India,LHB,24
34102,6,133.6280578,1,1,KKR,Eden Gardens,field,night,0,58,0,1.428,8.06,26.66,0.792,8.44,27.35,0.847,8.19,24.64,31.92957746,337,6,65,22,4.0142,3.0745,4.6306,4.4835,34.9,27.7,24.1,IPL,2,BAT,India,RHB,31
625371,6,128.3793876,1,1,KKR,Eden Gardens,field,night,0,37,0,1.428,8.06,26.66,0.792,8.44,27.35,0.847,8.19,24.64,22.32467532,104,0,6,6,2.8721,3.5007,2.1534,3.9147,34.9,27.7,24.1,IPL,2,ALL,India,RHB,25
604527,6,137.1055495,2,1,MI,Eden Gardens,field,night,1,39,1,1.428,8.25,24.16,1.261,8.39,25.05,0.847,8.09,25.96,28.63636364,50,0,8,2,2.6483,3.0745,3.7554,2.9753,34.9,27.7,24.1,IPL,2,ALL,Indian,LHB,25
720471,6,126.2975779,1,1,KKR,Eden Gardens,field,night,0,140,0,1.428,8.06,26.66,0.792,8.44,27.35,0.847,8.19,24.64,22.8125,96,0,10,14,2.6383,2.1565,3.3848,1.0927,34.9,27.7,24.1,IPL,2,WK,India,LHB,20
723105,6,129.1262136,2,1,MI,Eden Gardens,field,night,1,17,1,1.428,8.25,24.16,1.261,8.39,25.05,0.847,8.09,25.96,18.13636364,28,0,0,2,1.9655,2.6483,2.8816,1.0927,34.9,27.7,24.1,IPL,3,BAT,India,RHB,21
471342,6,147.6725522,1,0,KKR,Eden Gardens,field,night,0,24,0,1.428,8.06,26.66,0.792,8.44,27.35,0.847,8.19,24.64,27.87878788,46,0,2,1,2.3917,2.6483,1.8514,3.0623,34.9,27.7,24.1,IPL,3,ALL,India,LHB,27
559235,6,98.05825243,2,1,MI,Eden Gardens,field,night,1,3,1,1.428,8.25,24.16,1.261,8.39,25.05,0.847,8.09,25.96,16.83333333,13,0,0,0,1.8145,2.4973,2.474,2.1229,34.9,27.7,24.1,IPL,4,BOWL,India,LHB,24
917159,6,0.0,2,0,MI,Eden Gardens,field,night,1,-1,1,1.428,8.25,24.16,1.261,8.39,25.05,0.847,8.09,25.96,0.0,0,0,0,0,0.9353,0.9353,1.3382,1.0927,34.9,27.7,24.1,IPL,4,BOWL,India,RHB,22
720471,6,128.3190883,1,1,KKR,Eden Gardens,field,night,0,140,0,1.428,8.06,26.66,0.792,8.44,27.35,0.847,8.19,24.64,23.21649485,97,0,11,14,2.6383,2.6155,3.811,2.8057,34.9,27.7,24.1,IPL,2,WK,India,LHB,20
276298,6,162.8882614,2,1,MI,Eden Gardens,field,night,1,2,1,1.428,8.25,24.16,1.261,8.39,25.05,0.847,8.09,25.96,23.20689655,233,1,13,16,3.3753,2.6483,3.811,2.3795,34.9,27.7,24.1,IPL,2,ALL,West Indies,RHB,30
230558,6,142.2661871,2,1,MI,Eden Gardens,field,night,1,18,1,1.428,8.25,24.16,1.261,8.39,25.05,0.847,8.09,25.96,13.87719298,157,0,5,20,2.8607,2.2221,3.3292,2.3155,34.9,27.7,24.1,IPL,1,ALL,West Indies,LHB,30
446507,6,134.7146208,1,1,KKR,Eden Gardens,field,night,0,70,0,1.428,8.06,26.66,0.792,8.44,27.35,0.847,8.19,24.64,26.50769231,91,0,7,6,2.6155,3.5007,3.7554,3.4015,34.9,27.7,24.1,IPL,1,BAT,India,RHB,28
642519,6,130.0208478,1,1,SRH,Delhi,bat,night,1,1,1,1.041,8.19,24.64,0.939,7.58,23.12,0.847,8.04,24.75,28.78461538,74,0,14,7,2.6711,3.5563,4.2372,3.9147,37.9,21.4,15.0,IPL,2,BAT,Indian,RHB,24
390481,6,124.6305419,1,1,SRH,Delhi,bat,night,1,42,1,1.041,8.19,24.64,0.939,7.58,23.12,0.847,8.04,24.75,9.37037037,80,0,0,12,1.7303,2.2221,3.362,1.6513,37.9,21.4,15.0,IPL,2,ALL,India,RHB,28
477021,6,125.6272401,1,0,SRH,Delhi,bat,night,1,-2,1,1.041,8.19,24.64,0.939,7.58,23.12,0.847,8.04,24.75,23.36666667,40,0,4,3,2.3917,3.5007,2.625,2.5491,37.9,21.4,15.0,IPL,3,ALL,India,RHB,27
390481,6,125.2955083,1,1,SRH,Delhi,bat,night,1,42,1,1.041,8.19,24.64,0.939,7.58,23.12,0.847,8.04,24.75,9.636363636,81,0,0,12,1.7303,2.2221,3.362,2.6361,37.9,21.4,15.0,IPL,2,ALL,India,RHB,28
325026,6,158.9617169,1,1,SRH,Delhi,bat,night,1,17,1,1.041,8.19,24.64,0.939,7.58,23.12,0.847,8.04,24.75,27.0,233,4,24,17,3.4309,2.2221,3.362,3.3189,37.9,21.4,15.0,IPL,3,ALL,Australia,RHB,30
931581,6,159.6348884,1,0,SRH,Delhi,bat,night,1,280,1,1.041,8.19,24.64,0.939,7.58,23.12,0.847,8.04,24.75,32.12244898,55,1,10,5,3.0973,3.0745,4.2044,3.4885,37.9,21.4,15.0,IPL,2,WK,Indian,LHB,21
425943,6,123.7711864,2,1,CSK,Jaipur,bat,night,0,33,1,1.818,7.75,22.72,1.823,8.02,23.75,0.666,7.74,24.99,27.0462963,120,1,19,8,2.9277,2.6483,4.2372,2.6361,42.3,26.5,16.9,IPL,2,WK,Indian,RHB,24
277916,6,118.4955313,2,1,CSK,Jaipur,bat,night,0,14,1,1.818,7.75,22.72,1.823,8.02,23.75,0.666,7.74,24.99,29.28220859,182,1,35,17,3.4865,2.6483,4.6634,3.6311,42.3,26.5,16.9,IPL,2,BAT,India,RHB,30
308967,6,141.3877953,2,0,CSK,Jaipur,bat,night,0,183,1,1.818,7.75,22.72,1.823,8.02,23.75,0.666,7.74,24.99,28.16666667,254,0,34,12,3.5193,3.5563,4.1816,2.5491,42.3,26.5,16.9,IPL,1,WK,England,RHB,28
669855,6,133.8235294,2,0,CSK,Jaipur,bat,night,0,-2,1,1.818,7.75,22.72,1.823,8.02,23.75,0.666,7.74,24.99,16.54545455,26,0,0,3,1.9655,1.4611,2.3044,1.0927,42.3,26.5,16.9,IPL,3,BOWL,England,RHB,23
28081,6,134.4934402,1,0,RR,Jaipur,bat,night,1,53,0,1.818,7.54,25.92,0.548,7.73,28.18,0.666,7.62,23.87,38.04639175,337,0,26,8,3.9227,3.5007,3.362,3.5755,42.3,26.5,16.9,IPL,2,WK,India,RHB,37
230558,6,142.3698384,1,1,Kings XI,Indore,field,daynight,0,169,0,1.744,7.74,25.41,0.604,8.03,24.82,0.573,7.76,21.96,13.79130435,158,0,5,20,2.8607,2.2221,1.3382,2.8927,40.2,28.5,22.2,IPL,1,ALL,West Indies,LHB,30
422108,6,137.3500545,2,1,KKR,Indore,field,daynight,1,138,1,1.744,8.17,21.99,1.653,8.26,22.62,0.573,8.17,25.66,38.75384615,79,2,17,3,3.1301,3.5007,4.6634,3.6581,40.2,28.5,22.2,IPL,1,WK,India,RHB,26
253802,6,134.1833121,2,1,Daredevils,Delhi,field,night,1,138,0,1.041,7.97,26.06,1.268,8.38,26.5,0.847,7.94,25.34,42.85972851,276,4,73,9,4.4601,3.5007,4.6634,4.5947,40.7,27.3,28.8,IPL,2,BAT,India,RHB,30
276298,6,162.7064035,1,1,Kings XI,Indore,field,daynight,0,71,0,1.744,7.74,25.41,0.604,8.03,24.82,0.573,7.76,21.96,23.08571429,234,1,13,16,3.3753,2.2221,1.3382,3.2319,40.2,28.5,22.2,IPL,2,ALL,West Indies,RHB,30
604527,6,136.5671642,1,1,Kings XI,Indore,field,daynight,0,31,0,1.744,7.74,25.41,0.604,8.03,24.82,0.573,7.76,21.96,28.46666667,51,0,8,2,2.6483,2.2221,3.838,3.2319,40.2,28.5,22.2,IPL,3,ALL,Indian,LHB,25
477021,6,125.6272401,1,0,RCB,Delhi,field,night,0,33,1,1.041,8.19,24.64,0.788,8.34,26.9,0.847,8.04,24.75,23.36666667,41,0,4,3,2.3917,3.5007,2.8816,1.0927,40.7,27.3,28.8,IPL,2,ALL,India,RHB,27
26421,6,110.2819237,2,1,KKR,Indore,field,daynight,1,93,1,1.744,8.17,21.99,1.653,8.26,22.62,0.573,8.17,25.66,15.46511628,80,0,0,6,2.1893,1.6449,1.3382,2.6547,40.2,28.5,22.2,IPL,3,ALL,India,RHB,32
931581,6,162.2497617,1,1,RCB,Delhi,field,night,0,127,1,1.041,8.19,24.64,0.788,8.34,26.9,0.847,8.04,24.75,34.73469388,56,2,10,5,3.0973,3.5007,4.7093,3.6581,40.7,27.3,28.8,IPL,2,WK,Indian,LHB,21
642519,6,129.5093296,1,1,RCB,Delhi,field,night,0,52,1,1.041,8.19,24.64,0.788,8.34,26.9,0.847,8.04,24.75,28.39393939,75,0,14,7,2.6711,3.5007,4.2372,2.8057,40.7,27.3,28.8,IPL,2,BAT,Indian,RHB,24
